sequence,frames,visible_frames,selected_frames,precision_percent,recall_percent,f_score_percent
adapter01_indoor,2775,2674,2221,62.935080926722065,52.27330394100588,57.110853825638294
backpack_indoor,2111,2052,2095,61.26336020246709,62.54714406635894,61.89859639458333
bag01_indoor,2463,2343,2252,63.70823431936819,61.233864143071756,62.44654785080179
bag02_indoor,2904,2758,2435,76.56857247023677,67.60133211204734,71.80607508762819
ball01_wild,531,398,454,58.380515792108376,66.5948597226563,62.21773279252864
ball06_indoor,781,718,360,62.107215011178695,31.140107805047812,41.481627836779836
ball10_wild,2089,2016,1738,41.567573422511856,35.835537008098015,38.48931412270943
ball11_wild,1576,1534,1341,83.53649978960564,73.02636650447273,77.9286582385121
ball15_wild,179,165,169,84.90839468319923,86.96678000885254,85.92526168539324
ball18_indoor,3699,3699,3671,84.19093005079486,83.5536372577637,83.87107305738613
ball20_indoor,1691,1508,1427,87.48491905609318,82.78579541979109,85.07051413495398
bandlight_indoor,1190,1190,1037,78.14945349200121,68.1016666144582,72.78040706888663
beautifullight02_indoor,975,975,973,85.21927735919915,85.044468585129,85.13178323460039
book03_indoor,716,716,684,16.37862961404493,15.646623821238451,16.004260937152473
bottle04_indoor,2286,2161,1635,66.1099198837795,50.01837992132323,56.94927239724947
card_indoor,2416,2416,2196,36.40232667957236,33.08754527663117,34.66587571046873
cat01_indoor,3035,2952,2909,86.88341464132262,85.6178364470215,86.24598300344906
colacan03_indoor,2076,1668,903,24.59146397022718,13.313004775248888,17.274283909074402
cube02_indoor,3816,3625,3626,25.871008088926455,25.878144918744095,25.874576011707994
cube03_indoor,610,594,580,56.383013497734154,55.05412092371349,55.71064366045283
cube05_indoor,2975,2856,2975,2.060039468301179,2.1458744461470616,2.102081090103244
cup01_indoor,1361,1335,1327,79.96897328093922,79.48975845978005,79.72864578798374
cup02_indoor,1758,1758,1731,68.47702465456418,67.42532973666131,67.94710786875929
cup04_indoor,2235,2164,2185,49.30391088657306,49.782368432145155,49.541984496280584
cup12_indoor,1006,953,832,32.21307489310212,28.123062236160507,30.029443485782593
developmentboard_indoor,1527,1389,1297,36.21497842151218,33.81629014593326,34.974554737677806
duck03_wild,492,488,491,83.52639039892532,84.03987230711543,83.78234460852366
dumbbells01_indoor,1056,1021,948,77.78381808443288,72.22238936732846,74.90000969430407
earphone01_indoor,1090,1090,1024,78.46547703703952,73.71435640910869,76.01575069624263
file01_indoor,1628,1621,1586,71.26238909819213,69.72371937676293,70.48465800419876
flag_indoor,1371,1371,1362,85.43048387283936,84.86967106842246,85.14915406864779
glass01_indoor,2233,2225,2164,81.07807319060052,78.85525859975708,79.95121913167442
hand01_indoor,1223,1169,395,58.12596681244605,19.640510599586133,29.360302929560344
human02_indoor,1740,1732,1713,81.53919105370836,80.64470801097139,81.08948288824524
lock02_indoor,521,521,520,87.39517600832757,87.22743094881062,87.31122290937624
mobilephone03_indoor,677,663,639,82.04651766830932,79.07650797895876,80.53413946244189
notebook01_indoor,2000,1891,1968,31.030595354848096,32.29413625507195,31.64975986439028
pigeon01_wild,668,668,647,82.0583523583241,79.4786736165205,80.74791479214555
pigeon02_wild,303,302,290,84.92625326520184,81.55170015532626,83.20477515847477
pigeon04_wild,143,143,128,87.19277287173529,78.04667781525956,82.36660463160234
pot_indoor,1056,817,900,76.89012960663919,84.70148916276044,80.60700832379182
roller_indoor,850,650,744,64.53505861761379,73.86782094077638,68.88677706098228
shoes02_indoor,1317,1297,1286,31.690808458675555,31.422035218085398,31.5558495376359
squirrel_wild,1010,943,851,82.62714615195466,74.56596116152005,78.38985660570057
stick_indoor,903,898,854,77.19695778582857,73.41447878518665,75.25822140307946
toiletpaper01_indoor,1600,1556,1519,86.66798068673252,84.60710968068554,85.62514644757509
toy02_indoor,1140,1140,1121,82.79359401955769,81.4137007858984,82.09784953199839
toy09_indoor,1344,1344,1328,62.715353240427085,61.96874189232676,62.33981220305925
ukulele01_indoor,1613,1608,1525,28.27055995156745,26.81132084958977,27.52161118808832
yogurt_indoor,1614,1614,1597,63.70893086047392,63.037895033566826,63.37163661424906
