sequence,anchors,native,old_M82,full_M67,full_M82,full_M82_minus_native,full_M82_minus_old_M82,full_M82_minus_full_M67
XMG_outside_2,19,0,0,0,0,0,0,0
adapter01_indoor_1,19,0,0,0,1,1,1,1
backpack_blue_1,20,2,3,5,4,2,1,-1
backpack_indoor_1,10,0,0,0,0,0,0,0
backpack_robotarm_lab_occ_1,12,0,0,0,0,0,0,0
backpack_room_noocc_1_1,29,0,0,0,0,0,0,0
bag01_indoor_1,8,0,0,0,0,0,0,0
bag01_indoor_2,21,12,13,14,6,-6,-7,-8
bag01_indoor_4,9,0,0,0,0,0,0,0
bag02_indoor_1,11,0,0,0,0,0,0,0
bag02_indoor_2,27,7,2,4,12,5,10,8
bag_outside_2,13,0,0,0,1,1,1,1
bag_outside_3,15,0,0,0,0,0,0,0
ball06_indoor_1,8,1,4,4,3,2,-1,-1
ball06_indoor_2,8,7,8,8,8,1,0,0
ball11_wild_1,6,0,0,0,0,0,0,0
ball11_wild_2,5,0,0,0,0,0,0,0
ball11_wild_5,13,0,0,0,0,0,0,0
ball20_indoor_1,9,0,0,0,0,0,0,0
ball20_indoor_4,7,0,0,0,0,0,0,0
bandlight_indoor_1,25,5,8,7,8,3,0,1
bicycle2_outside_1,19,0,0,0,0,0,0,0
bottle_box_5,4,0,0,0,0,0,0,0
box1_outside_1,50,4,6,9,13,9,7,4
box_darkroom_noocc_10_1,18,1,1,1,0,-1,-1,-1
box_darkroom_noocc_1_1,23,0,0,0,0,0,0,0
box_darkroom_noocc_2_1,17,0,1,0,0,0,-1,0
box_darkroom_noocc_3_1,37,0,0,0,0,0,0,0
box_darkroom_noocc_4_1,26,0,0,0,0,0,0,0
box_darkroom_noocc_5_1,45,0,0,0,0,0,0,0
box_darkroom_noocc_6_1,23,0,0,0,0,0,0,0
box_darkroom_noocc_7_1,15,1,2,3,2,1,0,-1
box_humans_room_occ_1_1,10,0,0,0,0,0,0,0
box_room_noocc_3_1,24,0,0,0,0,0,0,0
box_room_noocc_4_1,26,0,0,0,0,0,0,0
box_room_noocc_7_1,28,0,0,0,0,0,0,0
box_room_occ_2_1,11,0,0,0,0,0,0,0
box_room_occ_2_2,5,0,0,0,0,0,0,0
boxes_backpack_room_occ_1_2,7,0,0,1,1,1,1,0
boxes_humans_room_occ_1_1,6,0,0,0,0,0,0,0
boxes_humans_room_occ_1_4,7,1,0,1,2,1,2,1
boxes_humans_room_occ_1_5,4,0,0,0,0,0,0,0
boxes_room_occ_1_1,18,2,3,3,3,1,0,0
boxes_room_occ_1_2,6,0,0,0,0,0,0,0
cartman_1,9,0,0,0,0,0,0,0
cartman_robotarm_lab_noocc_1,42,0,0,0,0,0,0,0
case_1,8,0,0,0,0,0,0,0
cat01_indoor_1,29,0,0,0,0,0,0,0
cat01_indoor_3,23,0,0,0,0,0,0,0
colacan03_indoor_1,5,0,0,0,0,0,0,0
colacan03_indoor_3,10,0,0,0,0,0,0,0
colacan03_indoor_7,6,0,0,0,0,0,0,0
container_room_noocc_1_1,34,0,0,0,0,0,0,0
cube02_indoor_1,13,7,8,7,8,1,0,1
cube02_indoor_2,13,0,2,0,2,2,0,2
cube05_indoor_1,4,2,1,2,1,-1,0,-1
cube05_indoor_2,4,0,0,0,0,0,0,0
cube05_indoor_3,7,0,0,0,0,0,0,0
cube05_indoor_4,7,4,3,1,4,0,1,3
cube05_indoor_5,11,9,9,9,8,-1,-1,-1
cube05_indoor_6,16,1,1,3,2,1,1,-1
cup01_indoor_1,16,0,0,0,4,4,4,4
cup02_indoor_1,36,36,36,35,36,0,0,1
cup04_indoor_1,23,0,0,0,0,0,0,0
developmentboard_indoor_4,9,2,3,3,1,-1,-2,-2
dog_outside_1,19,0,0,0,0,0,0,0
duck03_wild_1,6,0,0,0,0,0,0,0
duck03_wild_2,6,0,0,0,0,0,0,0
dumbbells01_indoor_1,7,0,0,0,0,0,0,0
dumbbells01_indoor_2,12,1,0,1,1,0,1,0
earphone01_indoor_1,20,2,2,2,5,3,3,3
file01_indoor_1,14,7,7,7,7,0,0,0
flag_indoor_1,27,0,1,1,1,1,0,0
glass01_indoor_1,5,0,0,0,0,0,0,0
glass01_indoor_2,19,5,6,5,11,6,5,6
human02_indoor_1,3,0,0,0,0,0,0,0
human02_indoor_2,23,0,2,2,4,4,2,2
human02_indoor_3,9,0,0,0,0,0,0,0
humans_corridor_occ_1_1,4,0,0,0,0,0,0,0
humans_shirts_room_occ_1_A_1,17,0,0,1,6,6,6,5
humans_shirts_room_occ_1_A_2,13,6,7,7,8,2,1,1
humans_shirts_room_occ_1_B_1,12,0,0,0,2,2,2,2
humans_shirts_room_occ_1_B_2,11,0,1,1,3,3,2,2
jug_1,6,0,0,0,0,0,0,0
lamp02_indoor_1,21,0,2,0,3,3,1,3
mobilephone03_indoor_2,10,0,0,0,0,0,0,0
mug_ankara_1,7,0,0,0,0,0,0,0
mug_gs_1,10,0,0,0,0,0,0,0
notebook01_indoor_1,16,3,3,9,4,1,1,-5
paperpunch_3,5,0,0,0,0,0,0,0
person_outside_1,17,0,0,0,0,0,0,0
pigeon01_wild_1,15,0,1,0,2,2,1,2
pigeon02_wild_1,7,0,1,0,1,1,0,1
pigeon04_wild_1,3,0,0,0,0,0,0,0
pot_indoor_1,2,0,0,0,0,0,0,0
pot_indoor_2,3,0,0,0,0,0,0,0
pot_indoor_3,5,0,0,0,0,0,0,0
robot_corridor_occ_1_1,9,0,0,0,0,0,0,0
robot_human_corridor_noocc_1_B_1,19,0,0,1,7,7,7,6
robot_lab_occ_1,21,0,0,0,0,0,0,0
roller_indoor_1,5,0,0,0,0,0,0,0
roller_indoor_2,3,0,0,0,0,0,0,0
roller_indoor_4,3,0,0,0,0,0,0,0
shoes02_indoor_1,13,12,12,12,12,0,0,0
shoes02_indoor_2,4,2,3,2,3,1,0,1
squirrel_wild_1,9,0,0,0,0,0,0,0
squirrel_wild_2,8,0,0,0,0,0,0,0
squirrel_wild_3,4,0,0,0,0,0,0,0
stick_indoor_1,19,7,8,14,14,7,6,0
teapot_1,7,0,0,0,0,0,0,0
toiletpaper01_indoor_1,5,0,0,0,1,1,1,1
toiletpaper01_indoor_2,25,1,1,3,1,0,0,-2
toy02_indoor_1,24,0,0,1,6,6,6,5
toy09_indoor_1,26,26,26,26,26,0,0,0
toy_office_noocc_1_1,21,0,0,0,1,1,1,1
trashcan_room_occ_1_2,3,0,0,0,0,0,0,0
trashcans_room_occ_1_A_1,2,0,0,0,0,0,0,0
trashcans_room_occ_1_B_1,5,2,2,2,2,0,0,0
trashcans_room_occ_1_B_3,3,0,0,0,0,0,0,0
trendNetBag_outside_1,31,0,0,0,3,3,3,3
trendNet_outside_1,17,0,0,0,0,0,0,0
trendNet_outside_2,17,0,0,0,1,1,1,1
trophy_outside_2,14,0,0,0,0,0,0,0
two_mugs_1,4,0,0,0,0,0,0,0
two_tennis_balls_1,4,0,0,0,1,1,1,1
two_tennis_balls_3,4,3,3,4,4,1,1,0
yogurt_indoor_1,34,2,10,11,13,11,3,2
