sequence,frames,visible_frames,selected_frames,precision_percent,recall_percent,f_score_percent
adapter01_indoor,2775,2674,2585,63.30650432616842,61.19944415974024,62.2351449641169
backpack_indoor,2111,2052,2101,61.44898721026861,62.91633632006548,62.17400535939049
bag01_indoor,2463,2343,2356,63.72809105213783,64.08168267982788,63.90439775221821
bag02_indoor,2904,2758,2271,36.63820725484818,30.168734110137862,33.09022417011741
ball01_wild,531,398,430,57.13709873601165,61.73103632282666,59.34529578861114
ball06_indoor,781,718,442,68.57246793838013,42.21313485900281,52.256949704765546
ball10_wild,2089,2016,1824,60.00858650156524,54.2934830252257,57.00815717648698
ball11_wild,1576,1534,1396,84.71294116192965,77.09208987096075,80.72304837000259
ball15_wild,179,165,171,84.63168366086312,87.70919943034905,86.14296372623568
ball18_indoor,3699,3699,3699,87.83774321954732,87.83774321954732,87.83774321954732
ball20_indoor,1691,1508,1491,81.8954043687049,80.97218031415053,81.43117566771525
bandlight_indoor,1190,1190,1145,75.0345057079961,72.19706641651726,73.58844457015464
beautifullight02_indoor,975,975,975,85.36191951250979,85.36191951250979,85.36191951250979
book03_indoor,716,716,704,17.29244838958791,17.002630818812694,17.14631502291534
bottle04_indoor,2286,2161,2041,65.85605622724108,62.19907948162843,63.975350195049515
card_indoor,2416,2416,2279,54.1823850005806,51.109956712054306,52.601344160308074
cat01_indoor,3035,2952,2921,86.69669104751242,85.78625831632242,86.2390718712017
colacan03_indoor,2076,1668,1935,11.553821965247751,13.403264689900718,12.410016931864778
cube02_indoor,3816,3625,3603,70.87785984498682,70.44770455765172,70.66212756543649
cube03_indoor,610,594,583,57.01382317462995,55.958011634359025,56.48098370570818
cube05_indoor,2975,2856,2973,2.096611169543074,2.182501753169314,2.1386944611602536
cup01_indoor,1361,1335,1311,79.38675770714858,77.95958004050321,78.66669641275267
cup02_indoor,1758,1758,1672,66.42329651505541,63.17392023502427,64.75787275403654
cup04_indoor,2235,2164,2177,55.873030575062565,56.20868186779631,56.040353633684035
cup12_indoor,1006,953,912,32.803504313039426,31.39223078015945,32.08235488846323
developmentboard_indoor,1527,1389,1367,39.98365430011364,39.35036387923351,39.66448144285584
duck03_wild,492,488,490,84.55136186874877,84.8978838436207,84.72426853923702
dumbbells01_indoor,1056,1021,1005,76.0018075780516,74.81079002540828,75.40159586963658
earphone01_indoor,1090,1090,1087,75.3895038721287,75.18200982477421,75.28561388057318
file01_indoor,1628,1621,1612,37.700539241704,37.491221010257156,37.595588776756486
flag_indoor,1371,1371,1366,85.19087756192924,84.88018873055825,85.03524936031813
glass01_indoor,2233,2225,2197,80.76041491919894,79.74410407976632,80.24904187131618
hand01_indoor,1223,1169,821,56.25764480333745,39.510287753242125,46.41962450607039
human02_indoor,1740,1732,1727,81.6617174473846,81.42597345937251,81.54367506888303
lock02_indoor,521,521,520,88.45677113467359,88.28698846454944,88.37179825173921
mobilephone03_indoor,677,663,577,74.83113861888914,65.12453541945557,69.64123706951459
notebook01_indoor,2000,1891,1981,33.617046830413514,35.21701204180284,34.39843479909565
pigeon01_wild,668,668,652,82.1211064343589,80.15413382515268,81.12569908363939
pigeon02_wild,303,302,295,83.45270481815734,81.51837060051793,82.47419739147878
pigeon04_wild,143,143,132,87.00542324978525,80.31269838441716,83.52520631979385
pot_indoor,1056,817,971,64.62057904670714,76.80120226970946,70.18633361784411
roller_indoor,850,650,822,61.366984342190776,77.60563250658586,68.53758305608807
shoes02_indoor,1317,1297,1303,30.577397918984456,30.718850800645143,30.647961144951346
squirrel_wild,1010,943,837,75.52222417792494,67.03298158740527,71.02483329991367
stick_indoor,903,898,896,77.09583455753027,76.924128912636,77.00988602402133
toiletpaper01_indoor,1600,1556,1533,80.8270204806703,79.63227660467068,80.2252006454306
toy02_indoor,1140,1140,1138,84.06619615499817,83.91871160034027,83.99238913466893
toy09_indoor,1344,1344,1338,64.89526593110291,64.60555492248193,64.75008636526152
ukulele01_indoor,1613,1608,1521,28.441844316417527,26.903013187357622,27.651035605798054
yogurt_indoor,1614,1614,1554,65.44128634309942,63.0085247690065,64.2018680411468
