sequence,frames,visible_frames,selected_frames,precision_percent,recall_percent,f_score_percent
XMG_outside,1911,1890,1835,88.03306056216323,85.47125192146535,86.73324356057424
backpack_blue,1001,917,895,75.68620332789044,73.8703947420523,74.76727591441717
backpack_robotarm_lab_occ,1653,1439,1570,77.89818310309758,84.98967857669439,81.28956295903171
backpack_room_noocc_1,1383,1376,1377,85.3470222389362,85.40904769114475,85.37802369997469
bag_outside,2340,2155,2206,84.83871976995489,86.8465038573181,85.83087173241023
bicycle2_outside,1605,1170,1075,86.36316323015143,79.35076963454084,82.70859730281762
bicycle_outside,1373,1360,1368,87.15521545860399,87.66789319659578,87.41080260071135
bottle_box,950,652,595,81.0377737057953,73.9531830597365,77.33356111459214
bottle_room_noocc_1,1253,1253,1245,83.74521245718563,83.21052634413097,83.47701321793123
bottle_room_occ_1,1522,1430,1421,87.17624003008596,86.62757837954696,86.90104320080825
box1_outside,2501,2501,2423,82.96676489082958,80.37923683745704,81.65250663301384
box_darkroom_noocc_1,1165,1098,1078,79.11335185727037,77.6723071968465,78.38620707917046
box_darkroom_noocc_10,873,873,866,80.93741016543616,80.28842749515202,80.61161265470699
box_darkroom_noocc_2,850,821,823,85.13704073752831,85.3444391315296,85.24061377978808
box_darkroom_noocc_3,1867,1827,1801,78.7922634113078,77.67097230638498,78.22760000207573
box_darkroom_noocc_4,1262,1225,1221,81.67046050132107,81.40378144662289,81.53690292077926
box_darkroom_noocc_5,2241,2190,2168,83.46908954721371,82.63058727778966,83.0477219542723
box_darkroom_noocc_6,1081,1081,1069,86.12909954648175,85.17299483366236,85.64837899087348
box_darkroom_noocc_7,702,702,641,85.60455883351736,78.16598605738551,81.71633985448194
box_darkroom_noocc_8,863,858,825,85.12516869069664,81.85112374105447,83.45604773597711
box_darkroom_noocc_9,758,758,737,81.06276745751973,78.81696519286548,79.92409313202948
box_humans_room_occ_1,1098,1047,1053,87.52704307334278,88.02863071273157,87.77712033926662
box_room_noocc_1,952,876,815,74.90004652851866,69.68440401911268,72.1981524787022
box_room_noocc_2,406,406,406,89.3423702326433,89.3423702326433,89.3423702326433
box_room_noocc_3,1143,1143,1141,81.04702280594798,80.90520824285795,80.97605343396378
box_room_noocc_4,1266,1266,1251,82.320007494146,81.34465195511584,81.82942342087934
box_room_noocc_5,1319,1319,1319,86.7373478042807,86.7373478042807,86.7373478042807
box_room_noocc_6,1128,1128,1127,88.3194603948137,88.24116300084668,88.28029433698896
box_room_noocc_7,1353,1353,1353,84.35211279635045,84.35211279635045,84.35211279635045
box_room_noocc_8,1058,1058,1055,84.15735441399235,83.91872297425513,84.03786929177656
box_room_noocc_9,1376,1288,1254,82.54473857541448,80.3657625571194,81.44067834269848
box_room_occ_1,1857,1414,1838,34.74400028135291,45.162286080004705,39.27396833771626
box_room_occ_2,1447,1188,1175,42.21998843225532,41.757985191835026,41.98771596098182
boxes_backpack_room_occ_1,1133,908,925,53.620483754464665,54.62439148995575,54.11778229446789
boxes_humans_room_occ_1,2311,1854,2111,61.486276830085565,70.00945544137575,65.47164206219956
boxes_office_occ_1,1266,1237,1193,46.825753158960595,45.1601645259822,45.977879439209865
boxes_room_occ_1,1295,1237,1213,83.80335913496863,82.17742492378089,82.98242826997301
cart_room_occ_1,999,914,679,39.93708455774054,29.6687969526322,34.04554979875182
cartman,899,773,361,81.56370066349203,38.091197851902486,51.93032793566247
