sequence,frame_zero_based,head,hann_selected_iou,raw_selected_iou,dense_best_iou,hann_index,raw_index,raw_score_at_hann_peak,raw_score_at_raw_peak,hann_score_at_hann_peak,hann_score_at_raw_peak
book06_indoor,1253,category,0.0555393090924691,0.0555393090924691,0.3326365703581948,136,136,0.5550761818885803,0.5550761818885803,0.5456652045249939,0.5456652045249939
book06_indoor,1253,unadapted_same_state,0.06022912280615917,0.06022912280615917,0.34690064613756216,136,136,0.8575074672698975,0.8575074672698975,0.8429689407348633,0.8429689407348633
book06_indoor,1253,empty,0.056327260012638915,0.056327260012638915,0.34273038245815485,136,136,0.5863449573516846,0.5863449573516846,0.576403796672821,0.576403796672821
book06_indoor,1253,swapped,0.05684382179193311,0.05684382179193311,0.35312546880177353,136,136,0.6885986328125,0.6885986328125,0.6769238114356995,0.6769238114356995
cup08_indoor,750,category,0.0,0.0,0.21700303137309243,152,152,0.4180894196033478,0.4180894196033478,0.3834852874279022,0.3834852874279022
cup08_indoor,750,unadapted_same_state,0.0,0.0,0.3101041765101548,152,152,0.6407189965248108,0.6407189965248108,0.5876883864402771,0.5876883864402771
cup08_indoor,750,empty,0.0,0.0,0.22839468221982473,152,152,0.4412221908569336,0.4412221908569336,0.40470340847969055,0.40470340847969055
cup08_indoor,750,swapped,0.0,0.0,0.23224380192248917,152,152,0.4912317991256714,0.4912317991256714,0.4505738615989685,0.4505738615989685
cup10_indoor,2156,category,0.04381401470597788,0.8943918509590771,0.8943918509590771,120,184,0.3391370475292206,0.4624279737472534,0.333387166261673,0.29198157787323
cup10_indoor,2156,unadapted_same_state,0.0343926693158595,0.0343926693158595,0.9023281068641751,120,120,0.6001930236816406,0.6001930236816406,0.5900170803070068,0.5900170803070068
cup10_indoor,2156,empty,0.0424283422051432,0.8974938478905765,0.8974938478905765,120,184,0.36727970838546753,0.4775102734565735,0.3610526919364929,0.3015046715736389
cup10_indoor,2156,swapped,0.046138354591901444,0.8926572134375385,0.8926572134375385,120,184,0.3608250021934509,0.4918439984321594,0.35470741987228394,0.3105551302433014
egg_indoor,2628,category,0.0,0.7933151155080082,0.81927080095741,136,125,0.22157087922096252,0.40986520051956177,0.21781426668167114,0.11261926591396332
egg_indoor,2628,unadapted_same_state,0.0,0.7543355001100175,0.8404842599295809,136,125,0.39877936244010925,0.5510728359222412,0.39201828837394714,0.15141910314559937
egg_indoor,2628,empty,0.0,0.7894163342470932,0.8347779753354378,136,125,0.2268211990594864,0.41085076332092285,0.22297558188438416,0.11289007216691971
egg_indoor,2628,swapped,0.0,0.7889322493962687,0.8316782722343184,136,125,0.2346518635749817,0.4248972237110138,0.23067347705364227,0.11674963682889938
