sequence,first_saved_bbox_difference,first_saved_score_difference,all_boxes_recall_delta_pp,reported_recall_delta_pp,alternative_rescue_frames,alternative_damage_frames
XMG_outside,1,1,-0.08329565996423582,-0.08329565996423582,0,0
backpack_blue,1,1,-0.051165342891877685,-0.8551499723592855,0,0
backpack_robotarm_lab_occ,1,1,-0.8802048246380707,-0.7126846440390864,0,11
backpack_room_noocc_1,1,1,0.934489685971613,0.9359633067947044,0,0
bag_outside,1,1,0.5147506509976552,0.5147506509976552,0,0
bicycle2_outside,1,1,-0.38391012808519065,-0.3574758553217521,0,0
bicycle_outside,1,1,0.12309451518618175,0.10932846907385851,0,0
bottle_box,1,1,-0.8285990323143722,-0.4277732677894619,0,0
bottle_room_noocc_1,1,1,0.24712543316699964,0.24712543316699964,0,0
bottle_room_occ_1,1,1,0.029344918042056634,0.1746126711889282,0,0
box1_outside,1,1,0.5366889257900738,1.0507928262492783,0,0
box_darkroom_noocc_1,1,1,0.08332585552712146,0.4195368581140002,0,0
box_darkroom_noocc_10,1,1,-0.13711107053758553,-0.3740637344929496,0,0
box_darkroom_noocc_2,1,1,0.05482194329687218,0.05428775213020742,0,0
box_darkroom_noocc_3,1,1,-0.03113404747868742,0.06720758730064347,0,0
box_darkroom_noocc_4,1,1,-0.03163066825739236,0.6323570226891775,0,0
box_darkroom_noocc_5,1,1,-0.13533607810354908,0.022627638457208832,0,0
box_darkroom_noocc_6,1,1,0.11388892218491264,0.5803280008615843,0,0
box_darkroom_noocc_7,1,1,-1.4572479245628216,-0.9382733992454604,0,0
box_darkroom_noocc_8,1,1,-0.08333810107330919,0.22774794583506264,0,0
box_darkroom_noocc_9,1,1,-0.3049424594634047,-0.16812568465090294,0,0
box_humans_room_occ_1,1,1,0.15046894589821136,0.23527807620816077,0,0
box_room_noocc_1,1,1,8.208364756863418,8.301275966561192,77,0
box_room_noocc_2,1,1,-0.08043118445165476,-0.08043118445165476,0,0
box_room_noocc_3,1,1,0.3092295850555047,0.4365220382361059,0,0
box_room_noocc_4,1,1,0.0028197725576717403,0.5141922753873445,0,0
box_room_noocc_5,1,1,-0.04065251396043834,-0.04065251396043834,0,0
box_room_noocc_6,1,1,0.12988658834268563,0.11932086651214036,0,0
box_room_noocc_7,1,1,-0.035033112229768903,-0.035033112229768903,0,0
box_room_noocc_8,1,1,0.32116184198957853,0.2456844578083235,0,0
box_room_noocc_9,1,1,0.08197105727910525,0.2666615660206162,0,0
box_room_occ_1,1,1,-0.19293721904400485,-0.1585738108655974,0,0
box_room_occ_2,1,1,-18.9218949897814,-17.642203189960952,0,261
boxes_backpack_room_occ_1,1,1,12.788538545315042,12.534084336171254,150,0
boxes_humans_room_occ_1,1,1,9.261403716189086,9.47813770881919,192,13
boxes_office_occ_1,1,1,0.3057147333045407,1.256005261986644,0,0
boxes_room_occ_1,1,1,-4.465270821748007,-2.5806845505591554,0,70
cart_room_occ_1,1,1,-1.0431187056708708,-0.22639130571698018,0,0
cartman,1,1,-13.690184463830974,-13.113149112665198,0,123
cartman_robotarm_lab_noocc,1,1,0.014522940658920902,0.26545717228827925,0,0
case,1,1,32.522640344646,32.28653032275944,360,0
container_room_noocc_1,1,1,-0.017268150853510633,-0.017268150853510633,0,0
dog_outside,1,1,0.21578368357693023,1.4686184109541784,0,0
human_entry_occ_1,1,1,17.29848520450382,17.47954592027054,105,0
human_entry_occ_2,1,1,3.685729370787527,3.7567252574064725,10,0
humans_corridor_occ_1,1,1,-0.01821574243199109,-0.01821574243199109,0,0
humans_corridor_occ_2_A,1,1,-0.33507864795600995,-0.08604023640681646,0,0
humans_corridor_occ_2_B,1,1,0.7387588479133171,0.8453961877036846,0,0
humans_longcorridor_staricase_occ_1,1,1,15.969192414444038,14.356483743738401,183,0
humans_shirts_room_occ_1_A,1,1,0.1573448678075522,0.2605439628955537,0,0
humans_shirts_room_occ_1_B,1,1,4.788645476251389,6.037274890136601,67,0
jug,1,1,0.0593556163527964,0.1425702782228484,0,0
mug_ankara,1,1,0.03744886912023304,0.03744886912024015,0,0
mug_gs,1,1,-0.26442711398740926,-0.2716444797726112,0,0
paperpunch,1,1,-31.758921516935985,-29.52690508143865,0,295
person_outside,1,1,-0.04083171203807012,-0.04083171203807012,0,0
robot_corridor_noocc_1,1,1,0.14914054837356616,0.14914054837356616,0,0
robot_corridor_occ_1,1,1,0.02418701732050721,0.02418701732050721,0,0
robot_human_corridor_noocc_1_A,1,1,0.3109518005174223,3.7166990411426326,0,0
robot_human_corridor_noocc_1_B,1,1,0.6190659720854725,0.6190659720854725,0,0
robot_human_corridor_noocc_2,1,1,-0.3196775888257122,-0.3196775888257264,0,0
robot_human_corridor_noocc_3_A,1,1,4.992665986766966,3.171192227376551,0,0
robot_human_corridor_noocc_3_B,1,1,0.30417462367240233,0.4992046394273828,0,0
robot_lab_occ,1,1,-0.7303730304924017,-0.7303730304924017,0,0
teapot,1,1,0.4298183556726798,-0.1806479831724488,0,0
tennis_ball,1,1,10.393103889299049,7.487719217927214,62,0
thermos_office_noocc_1,1,1,-0.5043384974622711,-0.3877461150249104,0,0
thermos_office_occ_1,1,1,-0.35916613958029586,0.9633295844214516,0,0
toy_office_noocc_1,1,1,0.05050469507318667,1.17025719971452,0,0
toy_office_occ_1,1,1,-1.3420002105949251,-0.4130372399547042,0,12
trashcan_room_occ_1,1,1,0.1369326358271934,0.2174932583429836,0,0
trashcans_room_occ_1_A,1,1,-11.388305103888264,-11.532158911934737,0,50
trashcans_room_occ_1_B,1,1,-5.191827436172673,-4.232403781223923,0,58
trendNetBag_outside,1,1,-6.685419983773059,-6.229760344790563,0,125
trendNet_outside,1,1,-0.10744350669075686,1.34834577811354,0,0
trophy_outside,1,1,0.23219473174592054,1.0639472796596579,0,0
trophy_room_noocc_1,1,1,1.3463056082608915,2.040562068760366,0,0
trophy_room_occ_1,1,1,-1.6891440669826636,-1.5907632783281684,0,0
two_mugs,1,1,-0.7226763329724264,0.8159421225653531,0,0
two_tennis_balls,1,1,-0.3554591641968017,0.2660825495478889,0,11
