sequence,first_saved_bbox_difference,first_saved_score_difference,all_boxes_recall_delta_pp,reported_recall_delta_pp,alternative_rescue_frames,alternative_damage_frames
XMG_outside,1,1,0.04652495312694782,0.04652495312694782,0,0
backpack_blue,1,1,-0.6550997597870492,0.8022248875735158,0,0
backpack_robotarm_lab_occ,1,1,0.16902396001093223,0.48511137994809417,0,0
backpack_room_noocc_1,1,1,0.09467142299395448,0.132960374294413,0,0
bag_outside,1,1,-1.8741975713721075,-1.8741975713720933,0,0
bicycle2_outside,1,1,-0.4466730265879306,-0.419091235129855,0,0
bicycle_outside,1,1,0.41937611700444677,0.366207976266395,0,0
bottle_box,1,1,-9.76852428257115,-9.423184354439584,0,76
bottle_room_noocc_1,1,1,-0.4833074077804582,-0.4833074077804582,0,0
bottle_room_occ_1,1,1,-0.021123073779914847,0.16777905692493889,0,0
box1_outside,1,1,0.11268239364277122,0.6018988464376918,0,0
box_darkroom_noocc_1,1,1,-0.09754472955768279,0.06837110308300964,0,0
box_darkroom_noocc_10,1,1,-0.16505174802696843,-0.25229787410620474,0,0
box_darkroom_noocc_2,1,1,0.10229769451721893,0.09780336972148973,0,0
box_darkroom_noocc_3,1,1,-0.001467800608025982,0.08770993094029222,0,0
box_darkroom_noocc_4,1,1,-0.03649897658604573,0.6931379545477228,0,0
box_darkroom_noocc_5,1,1,0.09032051409273834,0.2049693191630979,0,0
box_darkroom_noocc_6,1,1,-0.011521137206059961,0.5115292610880999,0,0
box_darkroom_noocc_7,1,1,-0.3106465785706689,0.6334825431869717,0,0
box_darkroom_noocc_8,1,1,0.014314583194305897,0.28620092796155916,0,0
box_darkroom_noocc_9,1,1,-0.1556539670306165,0.12764565287015728,0,0
box_humans_room_occ_1,1,1,0.1799104652230028,0.31649874207442963,0,0
box_room_noocc_1,1,1,8.27859526005922,8.498972662928892,77,0
box_room_noocc_2,1,1,0.0011393142026179248,0.0011393142026179248,0,0
box_room_noocc_3,1,1,-0.04775436806949074,0.08169746087759222,0,0
box_room_noocc_4,1,1,-0.06229579968750443,0.405275611863388,0,0
box_room_noocc_5,1,1,-0.39494123494765176,-0.39494123494765176,0,0
box_room_noocc_6,1,1,0.01624189764163475,0.025324290271910854,0,0
box_room_noocc_7,1,1,-0.08452650836184716,-0.08452650836184716,0,0
box_room_noocc_8,1,1,0.11785629653813601,0.11785629653813601,0,0
box_room_noocc_9,1,1,0.28289853606264614,0.4675890448041713,0,0
box_room_occ_1,1,1,0.6187525041452062,0.48568883928879103,0,0
box_room_occ_2,1,1,-19.129961101806153,-17.693294211047963,0,261
boxes_backpack_room_occ_1,1,1,1.4882923883271317,1.7066384256747469,17,0
boxes_humans_room_occ_1,1,1,11.859392228099864,12.215634296050737,256,0
boxes_office_occ_1,1,1,0.5181526269956791,1.8848690732650297,0,0
boxes_room_occ_1,1,1,-0.02263518647301055,2.098395829834203,0,12
cart_room_occ_1,1,1,-18.900650526779586,-16.37505367312685,0,211
cartman,1,1,-13.675533907281512,-12.46770235799653,0,123
cartman_robotarm_lab_noocc,1,1,-0.07908364116715916,0.2769415903853627,0,0
case,1,1,0.07825448650820022,-0.0018699330023466132,0,0
container_room_noocc_1,1,1,-0.05735189322962242,-0.05735189322962242,0,0
dog_outside,1,1,0.00812020878372266,1.4587039411969869,0,0
human_entry_occ_1,1,1,18.54188452251242,19.083312938105635,121,0
human_entry_occ_2,1,1,3.764259935344242,4.099149194307671,10,0
humans_corridor_occ_1,1,1,-0.009082393805272204,-0.009082393805257993,0,0
humans_corridor_occ_2_A,1,1,-0.3198779213909404,-0.018627521748456388,0,0
humans_corridor_occ_2_B,1,1,0.6507100506510284,0.7266544840651648,0,0
humans_longcorridor_staricase_occ_1,1,1,5.514382056281498,5.894250409925583,63,0
humans_shirts_room_occ_1_A,1,1,-0.017741730372392794,-0.026304439398458612,0,0
humans_shirts_room_occ_1_B,1,1,0.11293895074538796,1.5103895909806155,0,0
jug,1,1,0.008059651606668439,0.09127431347671333,0,0
mug_ankara,1,1,-0.05629349477488432,-0.053222684715613866,0,0
mug_gs,1,1,-1.0773364506266319,-1.0009996985483909,0,0
paperpunch,1,1,-0.12489608616174053,2.2579742132734566,0,0
person_outside,1,1,-0.023053494469927216,-0.023053494469927216,0,0
robot_corridor_noocc_1,1,1,-0.0317301474239855,-0.0317301474239855,0,0
robot_corridor_occ_1,1,1,0.01395680167679103,0.01395680167679103,0,0
robot_human_corridor_noocc_1_A,1,1,0.5546831071603293,3.7178963926282265,0,0
robot_human_corridor_noocc_1_B,1,1,0.27521353609269994,0.27521353609269994,0,0
robot_human_corridor_noocc_2,1,1,1.8785627295897456,1.8785627295897314,0,0
robot_human_corridor_noocc_3_A,1,1,5.079678190893404,3.954364241342809,0,0
robot_human_corridor_noocc_3_B,1,1,1.779698644268791,2.0889474543338906,0,0
robot_lab_occ,1,1,0.06011207297359533,0.06011207297359533,0,0
teapot,1,1,0.48328653319032355,0.3984871329764559,0,0
tennis_ball,1,1,17.54564761852904,10.592806894737635,74,0
thermos_office_noocc_1,1,1,-0.6418506410903575,-0.46195456152811687,0,0
thermos_office_occ_1,1,1,-0.30539110778273937,1.2299360021315593,0,0
toy_office_noocc_1,1,1,0.27795156090257933,2.0176798842176495,0,0
toy_office_occ_1,1,1,0.3413071564505543,1.2819940475645595,0,0
trashcan_room_occ_1,1,1,22.151278556902255,22.33310472969641,248,0
trashcans_room_occ_1_A,1,1,-13.111966257282397,-12.674982630793153,0,52
trashcans_room_occ_1_B,1,1,0.46090393934525764,1.3096332280347056,0,0
trendNetBag_outside,1,1,-6.577743893703797,-6.097113792515373,0,125
trendNet_outside,1,1,-0.11725799098354628,2.2514278520028626,0,0
trophy_outside,1,1,0.08080148587376357,1.3740061903391165,0,0
trophy_room_noocc_1,1,1,-0.1536595402746883,0.29306833803636323,0,0
trophy_room_occ_1,1,1,-1.11666606628053,-0.38692026170743077,0,0
two_mugs,1,1,0.011011618667950529,3.033848304174363,0,10
two_tennis_balls,1,1,-3.1195106088936626,0.9217298218427317,0,18
