sequence,first_saved_bbox_difference,first_saved_score_difference,all_boxes_recall_delta_pp,reported_recall_delta_pp,alternative_rescue_frames,alternative_damage_frames
adapter01_indoor,1,1,-2.1785197248462893,-2.4783044275977417,135,218
backpack_indoor,1,1,0.2634668208369746,0.28222594551991165,12,0
bag01_indoor,1,1,-2.7708762451426594,-2.700830814229562,0,85
bag02_indoor,1,1,1.0554565335092008,1.012557117188507,74,44
ball01_wild,1,1,3.4874452465032277,3.4335235381471847,18,0
ball06_indoor,1,1,0.30882530004171826,-0.7570346437733306,0,0
ball10_wild,1,1,10.397447989581899,10.15037485021751,253,0
ball11_wild,1,1,0.28342748631622783,0.21977213297867593,0,0
ball15_wild,1,1,0.003206921661700335,0.02166873382037693,0,0
ball18_indoor,1,1,0.08011127782189931,0.05413050468455083,0,0
ball20_indoor,1,1,-0.41371284997215696,-0.42437984555627395,0,0
bandlight_indoor,1,1,-0.35507834423957263,-0.544346960528685,0,0
beautifullight02_indoor,1,1,0.07606512666885124,0.07606512666885124,0,0
book03_indoor,1,1,-5.776357404664363,-5.735995125349879,0,45
bottle04_indoor,1,1,-16.58463611630318,-17.348256867447667,27,376
card_indoor,1,1,-4.036376715736733,-4.014815521714748,41,104
cat01_indoor,1,1,-1.289951623880583,-1.2760625124196139,27,67
colacan03_indoor,1,1,-0.1070965316301784,-0.13530597228208485,0,0
cube02_indoor,1,1,23.98302321449701,23.554784650771403,1480,531
cube03_indoor,1,1,0.12474549032622662,-0.7853604158364931,0,0
cube05_indoor,1,1,-0.18727354204975422,-0.21320482844832034,0,0
cup01_indoor,1,1,-0.6625306043905539,-1.5298270736124948,0,11
cup02_indoor,1,1,0.015410024518942578,-0.027398124997269235,0,0
cup04_indoor,1,1,-0.2343326889306354,-0.27002233793646724,0,0
cup12_indoor,1,1,-3.5926755313485046,-3.4846692247083624,0,46
developmentboard_indoor,1,1,-0.7003248266190631,-1.1095225656504155,0,21
duck03_wild,1,1,-0.03400444494158705,-0.16572324146885364,0,0
dumbbells01_indoor,1,1,4.741192239146713,4.432990063673429,58,0
earphone01_indoor,1,1,0.4449148862691885,0.9416170197234379,0,29
file01_indoor,1,1,26.20343896555051,26.13280696367174,475,14
flag_indoor,1,1,0.024210910577252776,0.011780297233741521,0,0
glass01_indoor,1,1,0.965113217136377,0.20102984774270283,0,0
hand01_indoor,1,1,6.347377483325644,-0.06656629307646966,37,24
human02_indoor,1,1,-17.892843030111614,-17.899331539858913,0,277
lock02_indoor,1,1,-0.3528438839419863,-0.8673685598576668,0,0
mobilephone03_indoor,1,1,-1.396755948151096,-1.5821016774526697,0,10
notebook01_indoor,1,1,-3.3921641292814826,-3.6190532470425225,46,148
pigeon01_wild,1,1,-0.2412453709662259,-1.272112240696032,0,0
pigeon02_wild,1,1,2.4065173167036846,2.100329864805815,0,0
pigeon04_wild,1,1,0.007029348248579481,-0.05451711201720855,0,0
pot_indoor,1,1,-3.884920410814331,-3.680641693173726,0,33
roller_indoor,1,1,-0.34691369496023583,-0.16693971504045635,0,0
shoes02_indoor,1,1,-4.30209943650539,-4.460592893100564,0,65
squirrel_wild,1,1,4.255937533283486,4.192027668719987,94,38
stick_indoor,1,1,-0.47624689346946525,-0.7887512176779836,0,0
toiletpaper01_indoor,1,1,-0.006681085613337245,-0.30889991642146697,0,0
toy02_indoor,1,1,0.07686287587003449,-0.242591948805142,0,0
toy09_indoor,1,1,5.146485515842549,4.440207050873688,110,0
ukulele01_indoor,1,1,1.5106285062983176,0.47459756857797686,14,0
yogurt_indoor,1,1,-0.016134463491958684,-0.9917989741075317,0,0
