sequence,valid_frames,iou_sum,mean_iou,low_iou_frames,failure_episodes,changes,mean_iou_gain,low_frame_delta,episode_delta
ball07_indoor,2179,797.1667277396067,0.36584062769142117,1287,8,50,0.00016089837923138894,-1,0
ball19_indoor,1380,1156.8013918955617,0.8382618781851896,19,1,1,0.0006595394858006642,0,0
book06_indoor,1545,978.4789620121618,0.6333197165127261,391,4,239,-0.022840288774824247,10,1
car01_indoor,1402,541.6296755761903,0.38632644477616995,820,3,5,-0.003963454100811614,6,0
car02_indoor,565,510.8724282713044,0.9041989880908042,14,1,3,0.21108427068058788,-129,-1
colacan04_indoor,567,144.75066168559857,0.2552921722850063,407,12,24,-0.02126533291476962,15,0
cup08_indoor,1321,1114.1436210722143,0.8434092513794204,84,1,3,0.012014388433978063,-19,0
egg_indoor,3433,1466.4887716887097,0.4271741251642032,1717,21,1109,-0.30760366143067813,1194,12
flowerbasket_indoor,851,661.4798369619964,0.7772971057132743,104,1,50,0.015272095222597537,-19,-2
glass03_indoor,570,431.8285333006747,0.7575939180713591,111,3,0,0.0,0,0
mobilephone02_indoor,610,516.4316978664103,0.8466093407646071,1,0,21,-0.004665100347098439,0,0
bag05_indoor,587,498.2016582413586,0.8487251418081067,10,0,71,0.02079982456776086,-15,-1
beautifullight01_indoor,910,501.9452176451776,0.551588151258437,336,5,13,-0.0632286301998558,66,1
colacan01_indoor,2801,257.0747872672225,0.09177964557915834,2490,11,211,-0.00937563342019189,26,1
container01_indoor,621,574.9543623699495,0.9258524353783406,4,0,0,0.0,0,0
cup10_indoor,2147,1833.814616656623,0.8541288386849665,96,1,61,-0.012168114624530268,19,0
cup13_indoor,1658,1142.8066554259108,0.6892681878322743,267,4,103,-0.08083439796782321,156,1
flower02_wild,467,361.9552314915233,0.7750647355278871,30,0,81,0.12451732920770953,-70,-2
flower03_indoor,547,458.77553524548387,0.8387121302476853,0,0,5,0.0004065600951740356,0,0
ghostmask_indoor,1025,841.0605700365393,0.8205468975966237,20,0,33,0.10446081440612287,-173,-3
mobilephone01_indoor,1217,742.825848623736,0.6103745674804733,372,5,17,-0.11947058323678938,165,0
notebook02_indoor,2494,967.791760971602,0.38804801963576663,1366,18,26,-0.4699493637185621,1318,17
