sequence,valid_frames,iou_sum,mean_iou,low_iou_frames,failure_episodes,changes,mean_iou_gain,low_frame_delta,episode_delta
ball07_indoor,2179,1431.65529030114,0.6570239973846443,609,7,29,0.29134426807245456,-679,-1
ball19_indoor,1380,1154.8826807314895,0.8368715077764416,17,1,10,-0.0007308309229473453,-2,0
book06_indoor,1545,1211.2319414422032,0.7839688941373483,95,3,298,0.1278088888497979,-286,0
car01_indoor,1402,545.4363675584966,0.3890416316394412,814,3,14,-0.0012482672375403459,0,0
car02_indoor,565,398.49122504374515,0.705294203617248,134,2,9,0.012179486207031687,-9,0
colacan04_indoor,567,144.4379504218357,0.2547406533012975,408,12,128,-0.021816851898478373,16,0
cup08_indoor,1321,1110.0974953826517,0.8403463250436425,81,1,26,0.008951462098200191,-22,0
egg_indoor,3433,1543.7112936746526,0.44966830576016675,1562,23,1343,-0.2851094808347146,1039,14
flowerbasket_indoor,851,649.615903905891,0.7633559387848308,114,2,82,0.0013309282941540435,-9,-1
glass03_indoor,570,472.68547728079216,0.8292727671592844,70,3,3,0.07167884908792532,-41,0
mobilephone02_indoor,610,366.8892598434133,0.601457803021989,179,1,24,-0.24981663808971655,178,1
bag05_indoor,587,490.84896655631456,0.8361992615950844,14,0,84,0.008273944354738605,-11,-1
beautifullight01_indoor,910,385.2800148234765,0.42338463167415,462,8,329,-0.19143214978414275,192,4
colacan01_indoor,2801,2071.262084282346,0.7394723614003378,302,8,309,0.6383170824009876,-2162,-2
container01_indoor,621,575.0757164123104,0.9260478525157977,3,0,3,0.00019541713745707678,-1,0
cup10_indoor,2147,1743.9163241011822,0.8122572538896983,151,3,99,-0.05403969941979847,74,2
cup13_indoor,1658,1147.2537215478053,0.691950374878049,255,3,195,-0.07815221092204849,144,0
flower02_wild,467,296.14492970583393,0.6341433184279099,109,1,79,-0.01640408789226766,9,-1
flower03_indoor,547,455.59709385979676,0.8329014512976175,0,0,17,-0.00540411885489378,0,0
ghostmask_indoor,1025,757.0701903848095,0.7386050637900581,156,3,63,0.02251898059955726,-37,0
mobilephone01_indoor,1217,753.0463260142001,0.618772659009203,353,4,52,-0.11107249170805966,146,-1
notebook02_indoor,2494,2131.0896124252954,0.8544866128409364,46,1,126,-0.003510770513392325,-2,0
