arm,sequence,valid_frames,iou_sum,mean_iou,low_iou_frames,failure_episodes,invalid_gt_frames
native,bag05_indoor,587,485.99216122008295,0.8279253172403458,25,1,301
native,ball07_indoor,2179,796.8161301712614,0.3656797293121897,1288,8,339
native,ball19_indoor,1380,1155.8912274051568,0.8376023386993889,19,1,0
native,beautifullight01_indoor,910,559.4832711270465,0.6148167814582928,270,4,359
native,book06_indoor,1545,1013.7672081692651,0.6561600052875503,381,3,445
native,car01_indoor,1402,547.1864382255281,0.39028989887698157,814,3,139
native,car02_indoor,565,391.6098153367722,0.6931147174102164,143,2,187
native,colacan01_indoor,2801,283.33593647718,0.10115527899935023,2464,10,254
native,colacan04_indoor,567,156.80810544827293,0.2765575051997759,392,12,433
native,container01_indoor,621,574.9543623699495,0.9258524353783406,4,0,139
native,cup08_indoor,1321,1098.2726139509296,0.8313948629454425,103,1,129
native,cup10_indoor,2147,1859.9395587554895,0.8662969533094967,77,1,48
native,cup13_indoor,1658,1276.8300872565617,0.7701025858000975,111,3,103
native,egg_indoor,3433,2522.4921413802276,0.7347777865948814,523,9,118
native,flower02_wild,467,303.8056387515229,0.6505474063201775,100,2,188
native,flower03_indoor,547,458.55314687342366,0.8383055701525113,0,0,196
native,flowerbasket_indoor,851,648.4832839275659,0.7620250104906767,123,3,149
native,ghostmask_indoor,1025,733.9882352702632,0.7160860831905007,193,3,139
native,glass03_indoor,570,431.82853330067474,0.7575939180713592,111,3,104
native,mobilephone01_indoor,1217,888.2215484229087,0.7298451507172626,207,5,200
native,mobilephone02_indoor,610,519.2774090781404,0.8512744411117056,1,0,90
native,notebook02_indoor,2494,2139.8454740856955,0.8579973833543286,48,1,151
M82_mask_control,bag05_indoor,587,496.6737435947051,0.8461222207746254,12,0,301
M82_mask_control,ball07_indoor,2179,1770.340622883125,0.812455540561324,247,6,339
M82_mask_control,ball19_indoor,1380,1164.4003494755962,0.8437683691852146,17,1,0
M82_mask_control,beautifullight01_indoor,910,566.5015281126646,0.6225291517721588,263,4,359
M82_mask_control,book06_indoor,1545,1248.859366788312,0.8083232147497165,96,3,445
M82_mask_control,car01_indoor,1402,990.986731959857,0.7068378972609537,344,3,139
M82_mask_control,car02_indoor,565,511.8432161402849,0.9059171967084688,14,1,187
M82_mask_control,colacan01_indoor,2801,745.4499484259678,0.26613707548231624,1924,10,254
M82_mask_control,colacan04_indoor,567,142.27036664599513,0.250917754225741,409,12,433
M82_mask_control,container01_indoor,621,575.5211025971112,0.9267650605428521,3,0,139
M82_mask_control,cup08_indoor,1321,1173.5809286360914,0.8884034281878057,1,0,129
M82_mask_control,cup10_indoor,2147,1849.872537388228,0.8616080751691794,48,2,48
M82_mask_control,cup13_indoor,1658,1325.7665802059691,0.7996179615235037,61,2,103
M82_mask_control,egg_indoor,3433,2518.166257736374,0.7335176981463367,553,8,118
M82_mask_control,flower02_wild,467,293.70008370076596,0.6289081021429678,115,2,188
M82_mask_control,flower03_indoor,547,460.33707614364255,0.8415668668073903,1,0,196
M82_mask_control,flowerbasket_indoor,851,661.5054131534332,0.7773271599922834,108,2,149
M82_mask_control,ghostmask_indoor,1025,724.3324873038996,0.7066658412720972,221,3,139
M82_mask_control,glass03_indoor,570,505.8136736482883,0.8873924099092777,35,1,104
M82_mask_control,mobilephone01_indoor,1217,684.5571050238175,0.5624955669875247,435,6,200
M82_mask_control,mobilephone02_indoor,610,514.4286276972647,0.8433256191758437,4,0,90
