arm,valid_frames,iou_sum,low_iou_frames,failure_episodes,mean_iou,macro_sequence_mean_iou
native,28897,18847.382327003917,7397,75,0.6522262631762438,0.6843364163600395
M82_mask_control,28897,21080.96532028973,4952,67,0.7295208956047248,0.7447772742984767
category,28897,20474.143699949313,5541,72,0.7085214278281244,0.7004543356970993
category_empty,28897,18847.382327003917,7397,75,0.6522262631762438,0.6843364163600395
category_swapped,28897,20347.596605849307,5796,73,0.7041421810516423,0.7059337344176406
