sequence,valid_frames,iou_sum,mean_iou,low_iou_frames,failure_episodes,changes,mean_iou_gain,low_frame_delta,episode_delta
ball07_indoor,2179,796.4330986679701,0.3655039461532676,1288,8,23,-0.00017578315892219365,0,0
ball19_indoor,1380,1156.5955524808426,0.8381127191890163,20,1,4,0.0005103804896273711,1,0
book06_indoor,1545,1216.4849972971,0.7873689302893851,140,3,74,0.1312089250018348,-241,0
car01_indoor,1402,547.2918504541916,0.3903650859159712,814,3,2,7.518703898962142e-05,0,0
car02_indoor,565,391.6098153367722,0.6931147174102164,143,2,0,0.0,0,0
colacan04_indoor,567,115.61909414719167,0.20391374629134335,440,13,6,-0.07264375890843255,48,1
cup08_indoor,1321,1112.578824615734,0.8422246969082013,84,1,2,0.01082983396275905,-19,0
egg_indoor,3433,1886.418024968623,0.5494954922716642,1262,21,455,-0.1852822943232172,739,12
flowerbasket_indoor,851,657.1383379213728,0.7721954617172418,114,2,7,0.010170451226565125,-9,-1
glass03_indoor,570,431.8285333006747,0.7575939180713591,111,3,0,0.0,0,0
mobilephone02_indoor,610,344.56166433827894,0.5648551874398016,205,1,4,-0.286419253671904,204,1
bag05_indoor,587,495.1859354196196,0.8435876242242243,15,0,7,0.015662306983878493,-10,-1
beautifullight01_indoor,910,509.3224314424977,0.5596949796071403,326,5,4,-0.05512180185115245,56,1
colacan01_indoor,2801,1844.1487567515921,0.6583894169052453,594,7,37,0.5572341379058952,-1870,-3
container01_indoor,621,574.7272120075281,0.9254866537963415,3,0,1,-0.0003657815819990695,-1,0
cup10_indoor,2147,1860.7764049454595,0.8666867279671446,64,1,31,0.00038977465764789,-13,0
cup13_indoor,1658,1317.6561380859935,0.7947262594004786,52,1,40,0.02462367360038109,-59,-2
flower02_wild,467,361.0983196263663,0.7732298064804417,32,1,17,0.1226824001602641,-68,-1
flower03_indoor,547,458.55314687342366,0.8383055701525113,0,0,0,0.0,0,0
ghostmask_indoor,1025,845.8713467802194,0.8252403383221653,18,0,7,0.10915425513166443,-175,-3
mobilephone01_indoor,1217,732.8071860495386,0.6021423057103851,383,5,12,-0.12770284500687756,176,0
notebook02_indoor,2494,2111.799638010795,0.8467520601486749,80,2,12,-0.011245323205653857,32,1
