arm,readout,precision_percent,recall_percent,f_score_percent,sequences,frames,scope
native,raw,69.65522154923387,66.76948699475307,68.18183390655601,22,33130,DepthTrack Train reused development22
native,constant,58.06892147282407,68.54784983253143,62.8747624508072,22,33130,DepthTrack Train reused development22
native,GT_overlap_oracle,88.46372979820657,68.46169441249974,77.18796194430254,22,33130,DepthTrack Train reused development22
control,raw,69.87741561137804,65.46718924144004,67.60044844798394,22,33130,DepthTrack Train reused development22
control,constant,58.67558163742624,68.93380256201183,63.39237486616378,22,33130,DepthTrack Train reused development22
control,GT_overlap_oracle,88.86250384773298,68.74758723469073,77.52146697219102,22,33130,DepthTrack Train reused development22
null,raw,78.72781782937713,72.00718047808049,75.21767672723594,22,33130,DepthTrack Train reused development22
null,constant,63.90305103004413,75.63448775546829,69.27561676572664,22,33130,DepthTrack Train reused development22
null,GT_overlap_oracle,88.43548923523048,75.56415828653574,81.49472767411001,22,33130,DepthTrack Train reused development22
