step_start,step_end_exclusive,samples,centre_inside,centre_outside,invalid,centre_null_median,outside_null_median,paired_background_greater_fraction
0,250,165,134,27,4,0.14453206211328506,0.5130208730697632,0.8955223880597015
250,500,165,154,7,4,0.02610223926603794,0.848660409450531,1.0
500,1000,341,280,34,27,0.007829000474885106,0.9071219563484192,0.9928571428571429
1000,1512,348,314,9,25,0.0229195524007082,0.9117245674133301,0.9808917197452229
