family,precision_percent,recall_percent,f_score_percent,threshold,sequences,frames
M82_category,75.97636948727633,72.33543798265445,74.11121281504643,0.420002,22,33130
M82_empty,70.95897326846293,66.61975183633429,68.72093321267802,0.469584,22,33130
M82_category_empty,77.95350625185132,72.75940131924924,75.26695008448819,0.41721,22,33130
M82_category_swapped,75.60677448388238,71.04108538243857,73.25285655714924,0.436108,22,33130
M84_category,75.83858398764416,66.74002401753538,70.99899469641859,0.470153,22,33130
M84_category_empty,69.65522154923387,66.76948699475307,68.18183390655601,0.47173,22,33130
M84_category_swapped,76.74186652433467,68.37231364333782,72.31573043398373,0.436249,22,33130
