family,index,threshold,precision,recall,f_score,best
M82_category,0,inf,1.0,0.0,0.0,False
M82_category,1,0.95159,0.9762877773705579,0.021342640489525905,0.04177210051680765,False
M82_category,2,0.946389,0.971708876112438,0.03915904422527399,0.07528419902981202,False
M82_category,3,0.942943,0.966207618793021,0.052384578868451055,0.09938104636215353,False
M82_category,4,0.939842,0.9632049956087997,0.06545085109261878,0.12257274761314228,False
M82_category,5,0.937468,0.9611240468168483,0.0768084836641741,0.14224909323338059,False
M82_category,6,0.934971,0.9607167719663822,0.08836251993178143,0.16183973045178887,False
M82_category,7,0.932453,0.9537358533860009,0.0980202103453554,0.17777009743331748,False
M82_category,8,0.929942,0.950879580417088,0.10839900269480211,0.1946124463259853,False
M82_category,9,0.927408,0.9454146423253291,0.11803520670142803,0.20986831269486433,False
M82_category,10,0.92491,0.9401990091019411,0.12818183600374336,0.2256057579985263,False
M82_category,11,0.922112,0.9366135257045666,0.13793038939118765,0.24045079311248424,False
M82_category,12,0.919293,0.934709070756131,0.14798944332421504,0.2555227946697432,False
M82_category,13,0.915768,0.9294032118973182,0.15836634805936983,0.2706201717001301,False
M82_category,14,0.911862,0.9315997393291884,0.16882634453071768,0.28585032809298494,False
M82_category,15,0.907599,0.9321347563989445,0.18029504406264166,0.30214810302193224,False
M82_category,16,0.903295,0.9309030105082272,0.19190398079620008,0.3182096207722309,False
M82_category,17,0.898627,0.9225173543610906,0.20291504209707717,0.3326590710993859,False
M82_category,18,0.894109,0.9203817899846822,0.21479783302154204,0.3483078977715472,False
M82_category,19,0.889879,0.91848465171932,0.22662772517987007,0.3635522441831044,False
M82_category,20,0.885421,0.9170796287528874,0.23801137715624554,0.377936256597576,False
M82_category,21,0.880792,0.913916828327292,0.24925906741588644,0.39168978167140894,False
M82_category,22,0.876263,0.9085765214644757,0.26026885105814107,0.4046286581596332,False
M82_category,23,0.871424,0.9088112377951418,0.27138893779318096,0.417965225868197,False
M82_category,24,0.866062,0.9069816426606111,0.2820596514280094,0.43030116321828693,False
M82_category,25,0.861234,0.9005534217373771,0.29121606280216245,0.4401113222372886,False
M82_category,26,0.856259,0.8941273439516745,0.3008745937258941,0.45024228475060263,False
M82_category,27,0.850948,0.8892728413606278,0.3108506508347537,0.46067099478395773,False
M82_category,28,0.845466,0.8848663438025764,0.3213324801189707,0.4714584215949813,False
M82_category,29,0.840015,0.8820447853540611,0.3309662243346882,0.4813262698706101,False
M82_category,30,0.833845,0.8785975584380961,0.34094788350602695,0.49125841104452544,False
M82_category,31,0.827407,0.8763720194245409,0.3500604948624254,0.5002855342296565,False
M82_category,32,0.821183,0.8753810702671639,0.3597640259512932,0.5099491858002175,False
M82_category,33,0.814481,0.8740733128752065,0.37015715043484304,0.5200716367356863,False
M82_category,34,0.807287,0.8725836313203285,0.3799049974017668,0.5293443382840121,False
M82_category,35,0.798781,0.8702041215009367,0.390087001039394,0.5386934970456524,False
M82_category,36,0.790796,0.8706597091849044,0.39999439620654403,0.5481570526535913,False
M82_category,37,0.783156,0.8689182999321211,0.4094237549758441,0.5565893600379885,False
M82_category,38,0.775301,0.8676505356401129,0.41908966011784937,0.5651853719674783,False
M82_category,39,0.765866,0.8663469588060825,0.42812077716556485,0.5730558174486745,False
M82_category,40,0.757707,0.8659184487524072,0.43704345453009186,0.5808980127979058,False
M82_category,41,0.747585,0.8655140957742046,0.44654035304327605,0.5891325169306434,False
M82_category,42,0.738197,0.8646629321261564,0.4558470395306095,0.5969724519490648,False
M82_category,43,0.728072,0.8640994934413435,0.4654332235275617,0.6049954356863619,False
M82_category,44,0.718004,0.8630446858410338,0.47443118969334924,0.6122806766865807,False
M82_category,45,0.707428,0.8599337462229593,0.48388450479986,0.6192929953661112,False
M82_category,46,0.69831,0.8569489958037352,0.4929874391220208,0.6259036795650391,False
M82_category,47,0.689015,0.8537106542195151,0.5018360500021216,0.6321033148086941,False
M82_category,48,0.680653,0.8511131612652426,0.5109028840737827,0.6385184231149494,False
M82_category,49,0.672079,0.8482326740450596,0.5192358997169837,0.6441579194254601,False
M82_category,50,0.663803,0.8451334391977766,0.5281090757698071,0.6500274126561426,False
M82_category,51,0.655488,0.8404392481648244,0.5365923790642008,0.6549933737385196,False
M82_category,52,0.647627,0.8365118097402423,0.5444188333019061,0.6595737241354688,False
