condition,mean_iou,macro_sequence_mean_iou,low_iou_frames,failure_episodes
native,0.6522262631762438,0.6843364163600396,7397,75
category,0.7295208956047248,0.7447772742984768,4952,67
empty,0.6853177948014881,0.6909410033387766,6414,80
category_empty,0.7366947943941015,0.7516163189672695,4694,66
category_swapped,0.7075750516684154,0.7354797164541026,5744,67
M78_native,0.6522262631762438,0.6843364163600396,7397,75
M78_category,0.7190085849647154,0.7015137299609854,5223,73
M78_empty,0.6345474449952171,0.6514465893569041,8125,83
