condition,sequence,valid_frames,mean_iou,low_iou_frames,H10_episodes
multi_native,colacan04_indoor,567,0.5484011333464552,217,7
multi_native,container01_indoor,621,0.9228228252368511,5,0
multi_native,cup08_indoor,1321,0.8271134363960414,103,1
multi_native,cup10_indoor,2147,0.8752430382197319,60,1
multi_native,cup13_indoor,1658,0.7626708022619161,125,3
multi_native,egg_indoor,3433,0.7183357933014297,594,8
multi_native,flower02_wild,467,0.657808210939361,96,2
multi_native,flower03_indoor,547,0.8403806843138215,0,0
multi_native,flowerbasket_indoor,851,0.8431560833276803,48,2
multi_native,ghostmask_indoor,1025,0.8604965782188473,16,0
multi_native,glass03_indoor,570,0.7575609182839365,111,3
multi_native,mobilephone01_indoor,1217,0.7276072145434629,224,7
multi_native,mobilephone02_indoor,610,0.8505063421903563,1,0
multi_native,notebook02_indoor,2494,0.8705037116939606,26,0
multi_M78_category,bag05_indoor,587,0.7968200428355442,43,2
multi_M78_category,ball07_indoor,2179,0.7814823755240411,331,8
multi_M78_category,ball19_indoor,1380,0.8018728559308741,86,1
multi_M78_category,beautifullight01_indoor,910,0.5987239375284611,281,7
multi_M78_category,book06_indoor,1545,0.8263892634587944,69,2
multi_M78_category,car01_indoor,1402,0.749238846747038,277,3
multi_M78_category,car02_indoor,565,0.9110883136958934,14,1
multi_M78_category,colacan01_indoor,2801,0.741664445584982,313,6
multi_M78_category,colacan04_indoor,567,0.7718332378195109,77,1
multi_M78_category,container01_indoor,621,0.9232534690118489,4,0
multi_M78_category,cup08_indoor,1321,0.8908532171775657,1,0
multi_M78_category,cup10_indoor,2147,0.8673390041257771,74,1
multi_M78_category,cup13_indoor,1658,0.8163540521432279,22,1
multi_M78_category,egg_indoor,3433,0.6828583890998202,757,9
multi_M78_category,flower02_wild,467,0.7861408171549176,27,0
multi_M78_category,flower03_indoor,547,0.8495640505901016,0,0
multi_M78_category,flowerbasket_indoor,851,0.6498418884157594,226,2
multi_M78_category,ghostmask_indoor,1025,0.8593188087993986,13,0
multi_M78_category,glass03_indoor,570,0.4022253380902981,327,4
multi_M78_category,mobilephone01_indoor,1217,0.7863176016271534,135,3
multi_M78_category,mobilephone02_indoor,610,0.8442094796631703,3,0
multi_M78_category,notebook02_indoor,2494,0.8644322342941844,52,1
multi_M78_empty_trained,bag05_indoor,587,0.8205177466095013,26,1
multi_M78_empty_trained,ball07_indoor,2179,0.7798335135611051,340,8
multi_M78_empty_trained,ball19_indoor,1380,0.8471470691651714,23,1
multi_M78_empty_trained,beautifullight01_indoor,910,0.4361781842537879,459,9
