model,condition,mean_iou,macro_mean_iou,low_iou_frames,H10,valid_frames
native,visual,0.6522262631762438,0.6843364163600396,7397,75,28897
M73,category,0.7236888033182838,0.738934640851976,5072,71,28897
M73,empty_trained,0.6540616397326695,0.6544162776656578,7415,90,28897
M77_Hann,category,0.6583786458352671,0.6684912368464014,7188,80,28897
M77_Hann,empty_trained,0.6995186408256338,0.7073177470980759,5905,70,28897
M78_raw,category,0.7190085849647154,0.7015137299609854,5223,73,28897
M78_raw,empty_trained,0.6345474449952171,0.6514465893569041,8125,83,28897
M78_category_head,empty_content,0.6547152535925367,0.6473963032375197,7397,86,28897
M78_category_head,swapped_content,0.6683745816602102,0.6712281987032628,6886,93,28897
