key,sequence,hann_top1_iou,hann_top5_oracle_iou,hann_top10_oracle_iou,hann_all_oracle_iou,hann_first_rank_ge_0_5,raw_top1_iou,raw_top5_oracle_iou,raw_top10_oracle_iou,raw_all_oracle_iou,raw_first_rank_ge_0_5,dense_top1_iou,dense_top5_oracle_iou,dense_top10_oracle_iou,dense_all_oracle_iou,dense_first_rank_ge_0_5,top1_center_inside_gt,top1_iou_if_gt_size,top1_iou_if_gt_center,hann_changes_top1_cell
cube02_indoor_1@300B,cube02_indoor_1,0.43660835197272296,0.43660835197272296,0.43660835197272296,0.43660835197272296,,0.5391001931802706,0.5391001931802706,0.5391001931802706,0.5391001931802706,1,0.5391001931802706,0.5391001931802706,0.5391001931802706,0.5391001931802706,1,True,0.4224702585347749,0.8513943982963709,True
cube02_indoor_1@350B,cube02_indoor_1,0.46702931243706597,0.46702931243706597,0.46702931243706597,0.46702931243706597,,0.5331109045280009,0.5331109045280009,0.5331109045280009,0.5331109045280009,1,0.5331109045280009,0.5331109045280009,0.5331109045280009,0.5331109045280009,1,True,0.4579755870625672,0.8597480673412082,True
cube02_indoor_1@400B,cube02_indoor_1,0.48849592032902145,0.48849592032902145,0.48849592032902145,0.48849592032902145,,0.48849592032902145,0.48849592032902145,0.48849592032902145,0.48849592032902145,,0.48849592032902145,0.5244678192928721,0.5244678192928721,0.5244678192928721,2,True,0.48535443546729,0.8653482076940932,False
cube02_indoor_1@506B,cube02_indoor_1,0.47457775531430674,0.47457775531430674,0.47457775531430674,0.47457775531430674,,0.5385972672022906,0.5385972672022906,0.5385972672022906,0.5385972672022906,1,0.5385972672022906,0.5385972672022906,0.5385972672022906,0.5385972672022906,1,True,0.465150311538049,0.8762265537910332,True
cube02_indoor_1@550B,cube02_indoor_1,0.4603257439742364,0.4603257439742364,0.4603257439742364,0.4603257439742364,,0.4603257439742364,0.4603257439742364,0.4603257439742364,0.4603257439742364,,0.4603257439742364,0.5328922506401326,0.5328922506401326,0.5328922506401326,2,True,0.4566113377023226,0.8639838168609427,False
cube02_indoor_1@569B,cube02_indoor_1,0.41013529490589257,0.41013529490589257,0.41013529490589257,0.41013529490589257,,0.5271647525519909,0.5271647525519909,0.5271647525519909,0.5271647525519909,1,0.5271647525519909,0.5271647525519909,0.5271647525519909,0.5271647525519909,1,True,0.39731188781201526,0.7817154224473831,True
two_tennis_balls_3@0F,two_tennis_balls_3,0.2884022590016248,0.2884022590016248,0.2884022590016248,0.2884022590016248,,0.2884022590016248,0.2884022590016248,0.2884022590016248,0.2884022590016248,,0.2884022590016248,0.2917446188237866,0.2917446188237866,0.2917446188237866,,False,0.26765446815215577,0.663948974632586,False
two_tennis_balls_3@129B,two_tennis_balls_3,0.8595743596341583,0.8595743596341583,0.8595743596341583,0.8595743596341583,1,0.8595743596341583,0.8595743596341583,0.8595743596341583,0.8595743596341583,1,0.8595743596341583,0.8907613215102079,0.8907613215102079,0.8907613215102079,1,True,0.927353701160709,0.8595743596341583,False
two_tennis_balls_3@50F,two_tennis_balls_3,0.3282563059371417,0.3510109725260639,0.3510109725260639,0.3510109725260639,,0.3282563059371417,0.3510109725260639,0.3510109725260639,0.3510109725260639,,0.3282563059371417,0.3510109725260639,0.3510109725260639,0.35587258095871893,,True,0.39072479938835186,0.5200556332690176,False
