arm,sequence,eao,acc,rob,anchors,confirmed_failures
default,cup02_indoor_1,44.58825025042802,87.40608663446397,18.86666108646522,36,36
default,shoes02_indoor_1,26.47612533700901,86.66830747482263,26.271047899297038,13,12
default,cube05_indoor_5,33.17860828995254,73.87498276331864,49.09176692616183,11,9
default,shoes02_indoor_2,18.34244634705944,91.78550060770657,80.20833333333334,4,2
default,bandlight_indoor_1,72.57353507740434,79.24243018136158,85.22792589644958,25,5
default,earphone01_indoor_1,67.92966670326743,70.80516538306438,91.95982885666746,20,2
default,toy09_indoor_1,59.986362896097354,85.00994229343368,43.42647732478241,26,26
default,duck03_wild_1,13.403495226290667,82.68528125124111,100.0,6,0
default,two_tennis_balls_3,12.071281710070028,62.683456158780736,68.93424036281179,4,3
default,cube05_indoor_6,83.2101219510406,85.91193395385997,97.76840235372488,16,1
default,duck03_wild_2,17.679860222534852,84.66915654659584,100.0,6,0
default,cube02_indoor_1,57.19949581376943,88.22056610870057,74.56140350877193,13,7
default,cube02_indoor_2,65.79766183664745,87.94213903136196,100.0,13,0
default,cube05_indoor_1,12.422343804042102,86.78693216514064,67.44791666666666,4,2
default,yogurt_indoor_1,67.2995036500433,68.53126362937978,96.17023313705778,34,2
default,cube05_indoor_2,4.339054267799119,87.3004381779969,100.0,4,0
default,cube05_indoor_4,50.27520487938936,89.4671726694136,95.56500607533415,7,4
default,humans_shirts_room_occ_1_A_2,56.78038592816268,69.71157295946063,84.69251336898395,13,6
default,ball06_indoor_2,21.382876641818978,72.52411904926328,43.84398496240601,8,7
default,robot_human_corridor_noocc_1_B_1,62.923553296471255,62.686801437114745,100.0,19,0
default,squirrel_wild_1,33.32044775640663,84.16161659871932,100.0,9,0
default,humans_shirts_room_occ_1_B_1,45.69646645659968,73.23635466537773,100.0,12,0
no_update,cup02_indoor_1,40.62860761827006,87.78054570131833,14.223235958818115,36,36
no_update,shoes02_indoor_1,25.96503399420164,86.07569616291956,25.666176230178188,13,12
no_update,cube05_indoor_5,30.826984442461665,76.6283284577146,49.32767162066526,11,8
no_update,shoes02_indoor_2,18.32974896403932,91.42811977730561,80.20833333333334,4,2
no_update,bandlight_indoor_1,65.80596007810058,79.04941274759275,64.81849935888934,25,14
no_update,earphone01_indoor_1,64.52908561620994,68.7886464257188,78.9576895650107,20,7
no_update,toy09_indoor_1,61.54989472157736,82.76834462186663,47.06825469537334,26,26
no_update,duck03_wild_1,13.403529534331499,82.42645360514446,100.0,6,0
no_update,two_tennis_balls_3,12.071281710070028,62.683456158780736,68.93424036281179,4,3
no_update,cube05_indoor_6,79.64956672903078,85.13431200710664,95.53680470744976,16,2
no_update,duck03_wild_2,17.151666845552633,82.6876217788156,100.0,6,0
no_update,cube02_indoor_1,57.2529272900322,88.25211166414377,74.56140350877193,13,7
no_update,cube02_indoor_2,67.97811125096548,88.10763780489236,90.0067408156387,13,2
no_update,cube05_indoor_1,2.1430201835742353,86.57581501350354,73.4375,4,1
no_update,yogurt_indoor_1,66.32295882668441,68.47354144311464,89.04447316769591,34,7
no_update,cube05_indoor_2,4.344879500415875,88.5288780910533,100.0,4,0
no_update,cube05_indoor_4,49.19453968134961,89.40484013849525,96.71931956257595,7,3
no_update,humans_shirts_room_occ_1_A_2,45.500759111268444,68.58953205974892,61.19652406417112,13,10
no_update,ball06_indoor_2,21.382876641818978,72.52411904926328,43.84398496240601,8,7
no_update,robot_human_corridor_noocc_1_B_1,60.40183823866456,64.37270398786536,90.85117814106992,19,3
no_update,squirrel_wild_1,33.40411818590563,84.224639491696,100.0,9,0
no_update,humans_shirts_room_occ_1_B_1,56.48763741486109,75.12889788714628,86.25827814569537,12,5
